report_id	facility_id	jurisdiction_facility_id	facility_name	registered_business_name	primary_anzsic_class_code	primary_anzsic_class_name	substance_id	substance_name	air_total_emission_kg	suburb	postcode	latitude	longitude
496880	529906	4779	Footscray	ALSCO PTY LIMITED	9531	Laundry and Dry-Cleaning Services	85	Total Volatile Organic Compounds	82.73910797	Footscray	3011	-37.814087	144.899557
495890	529010	4698	Mulgrave	ALSCO PTY LIMITED	9531	Laundry and Dry-Cleaning Services	20	Carbon monoxide	874.0388502	Mulgrave	3170	-37.92283	145.15575
495890	529010	4698	Mulgrave	ALSCO PTY LIMITED	9531	Laundry and Dry-Cleaning Services	69	Oxides of Nitrogen	1042.162863	Mulgrave	3170	-37.92283	145.15575
495890	529010	4698	Mulgrave	ALSCO PTY LIMITED	9531	Laundry and Dry-Cleaning Services	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	75.945492	Mulgrave	3170	-37.92283	145.15575
495890	529010	4698	Mulgrave	ALSCO PTY LIMITED	9531	Laundry and Dry-Cleaning Services	70	Particulate Matter ¡Ü10.0 ?m (PM10)	75.975192	Mulgrave	3170	-37.92283	145.15575
495890	529010	4698	Mulgrave	ALSCO PTY LIMITED	9531	Laundry and Dry-Cleaning Services	77	Sulfur dioxide	11.41273945	Mulgrave	3170	-37.92283	145.15575
495890	529010	4698	Mulgrave	ALSCO PTY LIMITED	9531	Laundry and Dry-Cleaning Services	85	Total Volatile Organic Compounds	57.83067758	Mulgrave	3170	-37.92283	145.15575
494676	524914	4077	Amcor Flexibles Asia Pacific - Moorabbin	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	20	Carbon monoxide	1826	Moorabbin	3189	-37.947072	145.060783
494676	524914	4077	Amcor Flexibles Asia Pacific - Moorabbin	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	69	Oxides of Nitrogen	2340	Moorabbin	3189	-37.947072	145.060783
494676	524914	4077	Amcor Flexibles Asia Pacific - Moorabbin	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	41.51	Moorabbin	3189	-37.947072	145.060783
494676	524914	4077	Amcor Flexibles Asia Pacific - Moorabbin	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	70	Particulate Matter ¡Ü10.0 ?m (PM10)	41.51	Moorabbin	3189	-37.947072	145.060783
494676	524914	4077	Amcor Flexibles Asia Pacific - Moorabbin	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	77	Sulfur dioxide	6.19	Moorabbin	3189	-37.947072	145.060783
494676	524914	4077	Amcor Flexibles Asia Pacific - Moorabbin	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	85	Total Volatile Organic Compounds	53646	Moorabbin	3189	-37.947072	145.060783
494622	524220	4023	Amcor Flexibles Asia Pacific - Nunawading	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	20	Carbon monoxide	2335	Mitcham	3132	-37.819277	145.184555
494622	524220	4023	Amcor Flexibles Asia Pacific - Nunawading	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	69	Oxides of Nitrogen	2800	Mitcham	3132	-37.819277	145.184555
494622	524220	4023	Amcor Flexibles Asia Pacific - Nunawading	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	158.25	Mitcham	3132	-37.819277	145.184555
494622	524220	4023	Amcor Flexibles Asia Pacific - Nunawading	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	70	Particulate Matter ¡Ü10.0 ?m (PM10)	158.25	Mitcham	3132	-37.819277	145.184555
494622	524220	4023	Amcor Flexibles Asia Pacific - Nunawading	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	77	Sulfur dioxide	23.59	Mitcham	3132	-37.819277	145.184555
494622	524220	4023	Amcor Flexibles Asia Pacific - Nunawading	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	85	Total Volatile Organic Compounds	79914	Mitcham	3132	-37.819277	145.184555
492828	526082	4199	Amcor Flexibles Asia Pacific - Oakleigh	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	20	Carbon monoxide	1395	Oakleigh	3166	-37.904393	145.096025
492828	526082	4199	Amcor Flexibles Asia Pacific - Oakleigh	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	69	Oxides of Nitrogen	1749	Oakleigh	3166	-37.904393	145.096025
492828	526082	4199	Amcor Flexibles Asia Pacific - Oakleigh	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	92	Particulate Matter ¡Ü2.5 ?m (PM2.5)	66.75	Oakleigh	3166	-37.904393	145.096025
492828	526082	4199	Amcor Flexibles Asia Pacific - Oakleigh	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	70	Particulate Matter ¡Ü10.0 ?m (PM10)	66.75	Oakleigh	3166	-37.904393	145.096025
492828	526082	4199	Amcor Flexibles Asia Pacific - Oakleigh	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	77	Sulfur dioxide	9.95	Oakleigh	3166	-37.904393	145.096025
492828	526082	4199	Amcor Flexibles Asia Pacific - Oakleigh	AMCOR FLEXIBLES (AUSTRALIA) PTY LTD	1611	Printing	85	Total Volatile Organic Compounds	75851	Oakleigh	3166	-37.904393	145.096025
